System,Outage,Midpoint,Unit,Materials & Mfg,Transport,Use,End-of-Life
BESS,Frequent,Freshwater eutrophication,Pt,2.755372,4.51E-03,0,4.28E-05
BESS,Frequent,Marine eutrophication,Pt,1.01E-03,1.50E-06,0,1.52E-08
BESS,Frequent,Terrestrial ecotoxicity,Pt,1.9716641,1.96E-02,0,1.01E-04
BESS,Frequent,Freshwater ecotoxicity,Pt,1.3695908,1.06E-03,0,4.69E-06
BESS,Frequent,Marine ecotoxicity,Pt,0.27080703,3.58E-04,0,1.96E-06
BESS,Frequent,Human carcinogenic toxicity,Pt,251.60629,2.8823204,0,2.82E-02
BESS,Frequent,Human non-carcinogenic toxicity,Pt,497.48423,0.60241806,0,1.85E-03
BESS,Frequent,Land use,Pt,1.7189051,3.25E-02,0,-3.12E-03
BESS,Frequent,Mineral resource scarcity,Pt,2.6663789,1.16E-03,0,9.62E-06
BESS,Frequent,Fossil resource scarcity,Pt,9.314964,0.29051521,0,3.31E-03
BESS,Frequent,"Water consumption, Human health",Pt,27.31427,1.08E-02,0,5.91E-05
BESS,Frequent,"Water consumption, Terrestrial ecosystem",Pt,2.726608,1.23E-03,0,7.45E-06
BESS,Frequent,"Water consumption, Aquatic ecosystems",Pt,1.44E-04,1.48E-07,0,1.26E-09
Propane,Frequent,"Global warming, Human health",Pt,62.695527,1.0794558,403.33651,3.33E-02
Propane,Frequent,"Global warming, Terrestrial ecosystems",Pt,3.0684696,5.28E-02,19.733104,1.63E-03
Propane,Frequent,"Global warming, Freshwater ecosystems",Pt,8.38E-05,1.44E-06,5.39E-04,4.45E-08
Propane,Frequent,Stratospheric ozone depletion,Pt,9.71E-03,9.17E-05,1.89E-02,6.46E-06
Propane,Frequent,Ionizing radiation,Pt,2.39E-02,9.42E-05,3.71E-02,2.70E-06
Propane,Frequent,"Ozone formation, Human health",Pt,0.16494556,6.44E-03,0.7445184,2.98E-04
Propane,Frequent,Fine particulate matter formation,Pt,105.19238,6.44E-03,153.10464,4.91E-02
Propane,Frequent,"Ozone formation, Terrestrial ecosystems",Pt,0.42338193,1.53E-02,1.8405692,7.04E-04
Propane,Frequent,Terrestrial acidification,Pt,1.2676483,1.22E-02,1.8027703,5.48E-04
Propane,Frequent,Freshwater eutrophication,Pt,0.38719141,1.39E-03,0.4130359,5.15E-05
Propane,Frequent,Marine eutrophication,Pt,6.79E-05,3.78E-07,1.30E-04,1.20E-08
Propane,Frequent,Terrestrial ecotoxicity,Pt,0.6264913,5.54E-03,0.81524626,5.70E-05
Propane,Frequent,Freshwater ecotoxicity,Pt,0.20763818,3.47E-04,7.45E-02,3.52E-06
Propane,Frequent,Marine ecotoxicity,Pt,4.57E-02,1.09E-04,2.32E-02,1.34E-06
Propane,Frequent,Human carcinogenic toxicity,Pt,1298.833,0.70588997,263.40184,1.53E-02
Propane,Frequent,Human non-carcinogenic toxicity,Pt,59.70214,0.22201421,25.374412,1.92E-03
Propane,Frequent,Land use,Pt,0.42420505,7.42E-03,0.52253746,-5.20E-04
Propane,Frequent,Mineral resource scarcity,Pt,0.21676752,3.00E-04,0.10408067,5.04E-06
Propane,Frequent,Fossil resource scarcity,Pt,7.8236462,6.58E-02,21.099016,1.71E-03
Propane,Frequent,"Water consumption, Human health",Pt,0.64015514,2.79E-03,0.62806351,3.48E-05
Propane,Frequent,"Water consumption, Terrestrial ecosystem",Pt,6.79E-02,3.22E-04,7.03E-02,4.16E-06
Propane,Frequent,"Water consumption, Aquatic ecosystems",Pt,6.34E-06,4.05E-08,9.87E-06,6.11E-10
